--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250904 00:00	12.2	12.2	12.2	97	11.8	2	3	22	0.0	734.5	137	0.076	1.1
20250904 00:05	12.6	12.6	12.6	97	12.1	3	5	248	0.0	734.3	146	0.000	1.1
20250904 00:10	12.8	12.8	12.8	99	12.7	3	5	248	0.0	734.6	144	0.000	1.1
20250904 00:15	12.8	12.8	12.8	98	12.5	2	5	315	0.0	734.6	179	0.000	1.2
20250904 00:20	13.2	13.2	13.2	99	13.0	2	5	315	0.0	734.4	400	0.000	1.5
20250904 00:25	13.4	13.4	13.4	98	13.1	3	6	180	0.0	734.5	366	0.000	1.3
20250904 00:30	13.4	13.4	13.4	97	12.9	3	10	180	0.0	734.3	230	0.000	1.1
20250904 00:35	13.2	13.2	13.2	97	12.8	5	10	180	0.0	734.3	167	0.000	0.9
20250904 00:40	12.9	12.9	12.9	96	12.3	3	8	180	0.0	734.3	134	0.000	0.9
20250904 00:45	12.9	12.9	12.9	97	12.5	2	5	180	0.0	734.3	109	0.000	0.8
20250904 00:50	13.1	13.1	13.1	97	12.6	0	2	180	0.0	734.3	126	0.000	0.7
20250904 00:55	13.1	13.1	13.1	96	12.5	0	2	180	0.0	734.4	75	0.000	0.6
20250904 01:00	13.2	13.2	13.2	98	12.9	2	5	180	0.0	734.4	156	0.102	0.6
20250904 01:05	13.2	13.2	13.2	99	13.1	2	6	338	0.0	734.4	151	0.000	0.4
20250904 01:10	13.2	13.2	13.2	99	13.1	2	6	338	0.0	734.4	162	0.000	0.4
20250904 01:15	13.1	13.1	13.1	98	12.8	3	8	0	0.0	734.5	110	0.000	0.0
20250904 01:20	12.9	12.9	12.9	99	12.7	5	11	0	0.0	734.5	100	0.000	0.0
20250904 01:25	12.7	12.7	12.7	100	12.7	3	8	315	0.0	734.5	98	0.000	0.0
20250904 01:30	12.6	12.6	12.6	100	12.6	5	11	315	0.0	734.5	220	0.000	0.0
20250904 01:35	12.4	12.4	12.4	99	12.3	3	8	22	0.0	734.5	76	0.000	0.0
20250904 01:40	12.3	12.3	12.3	99	12.1	2	6	22	0.0	734.5	114	0.000	0.0
20250904 01:45	12.2	12.2	12.2	99	12.1	2	5	68	0.0	734.5	61	0.000	0.0
20250904 01:50	12.1	12.1	12.1	99	11.9	3	10	68	0.0	734.5	17	0.000	0.0
20250904 01:55	11.8	11.8	11.8	99	11.7	5	13	0	0.0	734.5	12	0.000	0.0
20250904 02:00	11.7	11.7	11.7	99	11.6	6	13	22	0.0	734.5	9	0.051	0.0
20250904 02:05	11.7	11.7	11.7	100	11.7	6	11	22	0.0	734.6	6	0.000	0.0
20250904 02:10	11.6	11.6	11.6	100	11.6	5	14	0	0.0	734.6	2	0.000	0.0
20250904 02:15	11.6	11.6	11.6	100	11.6	5	8	22	0.0	734.5	0	0.000	0.0
20250904 02:20	11.3	11.3	11.3	100	11.3	5	6	22	0.0	734.6	0	0.000	0.0
20250904 02:25	11.3	11.3	11.3	99	11.1	3	8	45	0.0	734.7	0	0.000	0.0
20250904 02:30	11.2	11.2	11.2	98	10.9	5	8	0	0.0	734.7	0	0.000	0.0
20250904 02:35	11.3	11.3	11.3	97	10.8	5	10	22	0.0	734.7	0	0.000	0.0
20250904 02:40	11.4	11.4	11.4	97	10.9	5	11	22	0.0	734.6	0	0.000	0.0
20250904 02:45	11.4	11.4	11.4	95	10.7	8	13	22	0.0	734.7	0	0.000	0.0
20250904 02:50	11.5	11.5	11.5	94	10.6	6	10	22	0.0	734.7	0	0.000	0.0
20250904 02:55	11.5	11.5	11.5	93	10.4	8	14	22	0.0	734.7	0	0.000	0.0
20250904 03:00	11.6	11.6	11.6	93	10.5	8	14	22	0.0	734.7	0	0.000	0.0
20250904 03:05	11.6	11.6	11.6	92	10.4	8	18	22	0.0	734.8	0	0.000	0.0
20250904 03:10	11.6	11.6	11.6	92	10.4	10	18	22	0.0	734.9	0	0.000	0.0
20250904 03:15	11.6	11.6	11.6	93	10.5	10	18	22	0.0	735.0	0	0.000	0.0
20250904 03:20	11.6	11.6	11.6	93	10.5	10	16	22	0.0	735.1	0	0.000	0.0
20250904 03:25	11.6	11.6	11.6	94	10.6	10	14	22	0.0	735.2	0	0.000	0.0
20250904 03:30	11.6	11.6	11.6	94	10.6	10	18	22	0.0	735.2	0	0.000	0.0
20250904 03:35	11.5	11.5	11.5	94	10.6	10	14	22	0.0	735.1	0	0.000	0.0
20250904 03:40	11.5	11.5	11.5	95	10.7	8	14	22	0.0	735.2	0	0.000	0.0
20250904 03:45	11.5	11.5	11.5	95	10.7	8	13	22	0.0	735.2	0	0.000	0.0
20250904 03:50	11.4	11.4	11.4	95	10.7	8	13	22	0.0	735.3	0	0.000	0.0
20250904 03:55	11.5	11.5	11.5	95	10.7	11	16	22	0.0	735.3	0	0.000	0.0
20250904 04:00	11.4	11.4	11.4	95	10.7	8	14	22	0.0	735.4	0	0.000	0.0
20250904 04:05	11.4	11.4	11.4	95	10.7	10	16	22	0.0	735.3	0	0.000	0.0
20250904 04:10	11.4	11.4	11.4	95	10.7	10	16	22	0.0	735.4	0	0.000	0.0
20250904 04:15	11.4	11.4	11.4	95	10.7	11	23	22	0.0	735.3	0	0.000	0.0
20250904 04:20	11.4	11.4	11.4	95	10.6	11	23	22	0.0	735.4	0	0.000	0.0
20250904 04:25	11.4	11.4	11.4	95	10.6	10	18	22	0.0	735.4	0	0.000	0.0
20250904 04:30	11.4	11.4	11.4	96	10.8	11	16	22	0.0	735.4	0	0.000	0.0
20250904 04:35	11.4	11.4	11.4	96	10.8	8	16	22	0.0	735.4	0	0.000	0.0
20250904 04:40	11.3	11.3	11.3	96	10.7	10	21	22	0.0	735.5	0	0.000	0.0
20250904 04:45	11.3	11.3	11.3	96	10.7	8	14	22	0.0	735.4	0	0.000	0.0
20250904 04:50	11.3	11.3	11.3	97	10.8	8	14	22	0.0	735.4	0	0.000	0.0
20250904 04:55	11.3	11.3	11.3	96	10.7	8	16	22	0.0	735.3	0	0.000	0.0
20250904 05:00	11.2	11.2	11.2	96	10.6	6	14	22	0.0	735.4	0	0.000	0.0
20250904 05:05	11.2	11.2	11.2	96	10.6	6	13	22	0.0	735.4	0	0.000	0.0
20250904 05:10	11.2	11.2	11.2	96	10.6	8	18	22	0.0	735.3	0	0.000	0.0
20250904 05:15	11.2	11.2	11.2	96	10.6	6	13	22	0.0	735.3	0	0.000	0.0
20250904 05:20	11.2	11.2	11.2	96	10.6	3	8	22	0.0	735.3	0	0.000	0.0
20250904 05:25	11.1	11.1	11.1	97	10.7	6	13	22	0.0	735.3	0	0.000	0.0
20250904 05:30	11.1	11.1	11.1	98	10.8	6	13	22	0.0	735.4	0	0.000	0.0
20250904 05:35	11.1	11.1	11.1	98	10.8	6	13	22	0.0	735.3	0	0.000	0.0
20250904 05:40	11.1	11.1	11.1	98	10.8	3	8	45	0.0	735.3	0	0.000	0.0
20250904 05:45	11.0	11.0	11.0	98	10.7	2	5	22	0.0	735.4	0	0.000	0.0
20250904 05:50	10.9	10.9	10.9	99	10.8	2	5	22	0.0	735.3	0	0.000	0.0
20250904 05:55	10.9	10.9	10.9	99	10.7	2	6	90	0.0	735.3	0	0.000	0.0
20250904 06:00	10.9	10.9	10.9	100	10.9	2	6	22	0.0	735.4	0	0.000	0.0
20250904 06:05	10.9	10.9	10.9	100	10.9	5	10	45	0.0	735.2	0	0.000	0.0
20250904 06:10	11.0	11.0	11.0	100	11.0	6	10	22	0.0	735.2	0	0.000	0.0
20250904 06:15	11.0	11.0	11.0	100	11.0	5	8	22	0.0	735.1	0	0.000	0.0
20250904 06:20	10.9	10.9	10.9	100	10.9	6	13	22	0.0	735.0	0	0.000	0.0
20250904 06:25	11.0	11.0	11.0	100	11.0	6	10	22	0.0	735.0	0	0.000	0.0
20250904 06:30	11.0	11.0	11.0	100	11.0	6	10	22	0.0	735.0	0	0.000	0.0
20250904 06:35	11.0	11.0	11.0	100	11.0	6	11	22	0.0	735.0	0	0.000	0.0
20250904 06:40	11.0	11.0	11.0	100	11.0	8	11	45	0.0	735.1	0	0.000	0.0
20250904 06:45	11.0	11.0	11.0	100	11.0	8	14	45	0.0	735.0	0	0.000	0.0
20250904 06:50	11.0	11.0	11.0	100	11.0	8	14	45	0.0	734.9	0	0.000	0.0
20250904 06:55	11.1	11.1	11.1	100	11.1	8	13	22	0.0	734.9	0	0.000	0.0
20250904 07:00	11.0	11.0	11.0	100	11.0	8	18	45	0.0	735.0	0	0.000	0.0
20250904 07:05	10.9	10.9	10.9	100	10.9	10	16	45	0.0	734.9	0	0.000	0.0
20250904 07:10	11.0	11.0	11.0	97	10.5	8	13	22	0.0	734.9	0	0.000	0.0
20250904 07:15	11.1	11.1	11.1	96	10.4	8	14	45	0.0	734.8	0	0.000	0.0
20250904 07:20	11.2	11.2	11.2	95	10.4	8	14	22	0.0	734.8	0	0.000	0.0
20250904 07:25	11.2	11.2	11.2	94	10.3	6	11	22	0.0	734.6	0	0.000	0.0
20250904 07:30	11.2	11.2	11.2	93	10.1	6	8	22	0.0	734.6	0	0.000	0.0
20250904 07:35	11.3	11.3	11.3	92	10.0	8	14	22	0.0	734.7	0	0.000	0.0
20250904 07:40	11.3	11.3	11.3	92	10.0	8	11	22	0.0	734.7	0	0.000	0.0
20250904 07:45	11.3	11.3	11.3	92	10.1	8	11	45	0.0	734.6	0	0.000	0.0
20250904 07:50	11.3	11.3	11.3	92	10.1	8	14	22	0.0	734.6	0	0.000	0.0
20250904 07:55	11.3	11.3	11.3	92	10.1	8	13	22	0.0	734.5	0	0.000	0.0
20250904 08:00	11.4	11.4	11.4	92	10.1	6	11	22	0.0	734.4	0	0.000	0.0
20250904 08:05	11.3	11.3	11.3	92	10.1	6	8	22	0.0	734.3	0	0.000	0.0
20250904 08:10	11.3	11.3	11.3	93	10.2	8	11	22	0.0	734.2	0	0.000	0.0
20250904 08:15	11.3	11.3	11.3	93	10.2	8	14	45	0.0	734.3	0	0.000	0.0
20250904 08:20	11.3	11.3	11.3	94	10.3	11	18	45	0.0	734.2	0	0.000	0.0
20250904 08:25	11.3	11.3	11.3	94	10.3	11	18	45	0.0	734.3	0	0.000	0.0
20250904 08:30	11.2	11.2	11.2	95	10.4	8	16	22	0.0	734.2	0	0.000	0.0
20250904 08:35	11.2	11.2	11.2	95	10.4	8	13	22	0.0	734.2	0	0.000	0.0
20250904 08:40	11.1	11.1	11.1	96	10.5	10	14	22	0.0	734.2	0	0.000	0.0
20250904 08:45	11.1	11.1	11.1	96	10.4	10	14	22	0.0	734.2	0	0.000	0.0
