--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250616 00:00	21.9	21.9	21.9	30	3.5	3	8	45	0.0	736.1	627	0.508	4.2
20250616 00:05	21.7	21.7	21.7	30	3.4	6	14	45	0.0	736.1	608	0.000	4.0
20250616 00:10	21.4	21.4	21.4	30	3.1	6	14	45	0.0	736.0	591	0.000	3.7
20250616 00:15	21.3	21.3	21.3	31	3.5	5	13	22	0.0	736.0	574	0.000	3.6
20250616 00:20	21.4	21.4	21.4	31	3.6	5	11	22	0.0	736.0	560	0.000	3.3
20250616 00:25	21.3	21.3	21.3	30	3.0	5	10	45	0.0	736.0	542	0.000	3.1
20250616 00:30	21.3	21.3	21.3	30	3.0	3	6	45	0.0	735.9	524	0.000	2.9
20250616 00:35	21.1	21.1	21.1	30	2.8	6	11	45	0.0	735.8	506	0.000	2.7
20250616 00:40	21.0	21.0	21.0	30	2.8	5	11	45	0.0	735.8	485	0.000	2.6
20250616 00:45	21.1	21.1	21.1	30	2.8	5	11	45	0.0	735.8	468	0.000	2.4
20250616 00:50	21.1	21.1	21.1	30	2.8	3	8	90	0.0	735.7	451	0.000	2.2
20250616 00:55	21.1	21.1	21.1	29	2.3	5	11	45	0.0	735.8	432	0.000	2.0
20250616 01:00	20.6	20.6	20.6	30	2.4	8	13	45	0.0	735.7	410	0.381	1.8
20250616 01:05	20.3	20.3	20.3	30	2.1	6	10	45	0.0	735.7	394	0.000	1.6
20250616 01:10	20.2	20.2	20.2	30	2.0	5	8	22	0.0	735.7	374	0.000	1.4
20250616 01:15	20.2	20.2	20.2	29	1.6	3	10	45	0.0	735.6	355	0.000	1.3
20250616 01:20	20.0	20.0	20.0	29	1.4	5	10	45	0.0	735.7	335	0.000	1.3
20250616 01:25	19.8	19.8	19.8	28	0.8	5	8	45	0.0	735.7	319	0.000	1.2
20250616 01:30	19.6	19.6	19.6	29	1.1	6	11	45	0.0	735.7	303	0.000	1.0
20250616 01:35	19.6	19.6	19.6	29	1.0	5	8	45	0.0	735.7	280	0.000	1.0
20250616 01:40	19.6	19.6	19.6	29	1.0	5	6	45	0.0	735.7	261	0.000	0.8
