--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250624 00:00	13.1	13.1	13.1	63	6.2	10	18	22	0.0	730.1	635	0.432	4.0
20250624 00:05	13.1	13.1	13.1	63	6.2	11	19	22	0.0	730.0	618	0.000	3.8
20250624 00:10	13.0	13.0	13.0	62	5.9	10	14	22	0.0	730.0	603	0.000	3.6
20250624 00:15	13.0	13.0	13.0	62	5.9	10	18	22	0.0	730.0	582	0.000	3.4
20250624 00:20	13.0	13.0	13.0	61	5.7	11	19	22	0.0	730.0	567	0.000	3.2
20250624 00:25	12.9	12.9	12.9	62	5.8	11	19	22	0.0	730.0	551	0.000	3.0
20250624 00:30	12.8	12.8	12.8	62	5.7	8	16	22	0.0	730.0	532	0.000	2.8
20250624 00:35	12.7	12.7	12.7	62	5.6	11	18	22	0.0	729.9	513	0.000	2.6
20250624 00:40	12.7	12.7	12.7	63	5.8	10	18	22	0.0	730.0	494	0.000	2.5
20250624 00:45	12.6	12.6	12.6	63	5.8	10	14	22	0.0	729.9	478	0.000	2.3
20250624 00:50	12.4	12.4	12.4	63	5.6	10	14	22	0.0	730.0	460	0.000	2.1
20250624 00:55	12.4	12.4	12.4	63	5.6	6	14	22	0.0	730.0	439	0.000	1.9
20250624 01:00	12.4	12.4	12.4	63	5.5	10	16	22	0.0	730.0	419	0.330	1.7
20250624 01:05	12.4	12.4	12.4	63	5.5	10	14	22	0.0	730.0	400	0.000	1.5
20250624 01:10	12.2	12.2	12.2	63	5.4	10	16	22	0.0	730.0	382	0.000	1.4
20250624 01:15	12.1	12.1	12.1	64	5.5	8	16	45	0.0	730.0	359	0.000	1.3
20250624 01:20	12.0	12.0	12.0	62	4.9	8	14	45	0.0	729.9	342	0.000	1.2
20250624 01:25	12.1	12.1	12.1	62	5.0	6	11	22	0.0	729.9	324	0.000	1.1
20250624 01:30	12.1	12.1	12.1	61	4.8	5	8	68	0.0	729.9	305	0.000	1.0
20250624 01:35	11.9	11.9	11.9	61	4.6	5	10	90	0.0	729.9	285	0.000	0.9
20250624 01:40	12.1	12.1	12.1	60	4.5	3	8	68	0.0	729.9	267	0.000	0.8
20250624 01:45	12.2	12.2	12.2	59	4.4	3	6	68	0.0	729.9	245	0.000	0.7
20250624 01:50	12.6	12.6	12.6	52	3.0	3	10	202	0.0	729.9	226	0.000	0.6
20250624 01:55	12.9	12.9	12.9	52	3.3	3	8	202	0.0	729.8	206	0.000	0.5
20250624 02:00	13.2	13.2	13.2	49	2.7	3	6	225	0.0	729.8	184	0.178	0.1
20250624 02:05	13.2	13.2	13.2	47	2.2	5	13	225	0.0	729.8	162	0.000	0.0
20250624 02:10	13.1	13.1	13.1	26	-6.0	8	18	225	0.0	729.8	137	0.000	0.0
20250624 02:15	12.9	12.9	12.9	19	-10.1	13	21	225	0.0	729.8	116	0.000	0.0
20250624 02:20	12.8	12.8	12.8	17	-11.7	13	21	225	0.0	729.7	94	0.000	0.0
20250624 02:25	12.6	12.6	12.6	17	-11.8	10	19	225	0.0	729.7	74	0.000	0.0
20250624 02:30	12.5	12.5	12.5	18	-11.2	8	13	202	0.0	729.7	57	0.000	0.0
20250624 02:35	12.3	12.3	12.3	18	-11.3	6	14	202	0.0	729.6	41	0.000	0.0
20250624 02:40	12.1	12.1	12.1	19	-10.8	6	11	202	0.0	729.7	28	0.000	0.0
20250624 02:45	11.9	11.9	11.9	19	-11.0	6	10	202	0.0	729.7	16	0.000	0.0
20250624 02:50	11.6	11.6	11.6	20	-10.6	6	13	202	0.0	729.6	9	0.000	0.0
20250624 02:55	11.4	11.4	11.4	22	-9.6	8	14	202	0.0	729.5	4	0.000	0.0
20250624 03:00	11.2	11.2	11.2	23	-9.2	8	13	202	0.0	729.6	0	0.102	0.0
20250624 03:05	10.9	10.9	10.9	24	-8.8	8	14	202	0.0	729.5	0	0.000	0.0
20250624 03:10	10.8	10.8	10.8	23	-9.5	10	14	202	0.0	729.6	0	0.000	0.0
20250624 03:15	10.7	10.7	10.7	21	-10.7	10	16	202	0.0	729.6	0	0.000	0.0
20250624 03:20	10.7	10.7	10.7	23	-9.6	10	16	202	0.0	729.7	0	0.000	0.0
20250624 03:25	10.6	10.6	10.6	23	-9.7	10	18	202	0.0	729.7	0	0.000	0.0
20250624 03:30	10.6	10.6	10.6	21	-10.9	10	18	202	0.0	729.8	0	0.000	0.0
