--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250814 00:00	16.5	16.5	16.5	39	2.5	9	18	352	0.0	734.8	-100000	-100000.000	-1.0
20250814 00:05	17.4	17.4	17.4	35	1.8	7	15	351	0.0	734.8	-100000	-100000.000	-1.0
20250814 00:10	17.9	17.9	17.9	36	2.6	8	24	21	0.0	734.8	-100000	-100000.000	-1.0
20250814 00:15	18.3	18.3	18.3	30	0.4	7	16	50	0.0	734.8	-100000	-100000.000	-1.0
20250814 00:20	18.9	18.9	18.9	32	1.8	5	18	69	0.0	734.8	-100000	-100000.000	-1.0
20250814 00:25	18.8	18.8	18.8	33	2.2	6	15	41	0.0	734.8	-100000	-100000.000	-1.0
20250814 00:30	18.7	18.7	18.7	33	2.1	6	11	25	0.0	734.8	-100000	-100000.000	-1.0
20250814 00:35	18.8	18.8	18.8	32	1.7	5	10	16	0.0	734.8	-100000	-100000.000	-1.0
20250814 00:40	18.9	18.9	18.9	34	2.7	6	11	356	0.0	734.5	-100000	-100000.000	-1.0
20250814 00:45	18.9	18.9	18.9	33	2.3	7	12	349	0.0	734.5	-100000	-100000.000	-1.0
20250814 00:50	18.8	18.8	18.8	33	2.2	5	9	14	0.0	734.5	-100000	-100000.000	-1.0
20250814 00:55	18.8	18.8	18.8	34	2.6	5	8	354	0.0	734.5	-100000	-100000.000	-1.0
20250814 01:00	18.9	18.9	18.9	34	2.7	6	13	358	0.0	734.5	-100000	-100000.000	-1.0
20250814 01:05	18.8	18.8	18.8	34	2.6	6	9	351	0.0	734.5	-100000	-100000.000	-1.0
20250814 01:10	18.7	18.7	18.7	36	3.3	5	10	354	0.0	734.5	-100000	-100000.000	-1.0
20250814 01:15	18.5	18.5	18.5	36	3.1	6	12	358	0.0	734.5	-100000	-100000.000	-1.0
20250814 01:20	18.4	18.4	18.4	38	3.8	8	14	354	0.0	734.5	-100000	-100000.000	-1.0
20250814 01:25	18.1	18.1	18.1	46	6.3	8	15	356	0.0	734.5	-100000	-100000.000	-1.0
20250814 01:30	17.9	17.9	17.9	50	7.3	8	14	0	0.0	734.5	-100000	-100000.000	-1.0
20250814 01:35	17.6	17.6	17.6	53	7.9	8	14	0	0.0	734.5	-100000	-100000.000	-1.0
