--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250815 00:00	19.3	19.3	19.3	50	8.6	9	19	343	0.0	734.2	-100000	-100000.000	-1.0
20250815 00:05	19.0	19.0	19.0	51	8.6	9	20	349	0.0	734.2	-100000	-100000.000	-1.0
20250815 00:10	18.6	18.6	18.6	53	8.8	6	17	356	0.0	734.2	-100000	-100000.000	-1.0
20250815 00:15	19.0	19.0	19.0	52	8.9	8	15	5	0.0	734.2	-100000	-100000.000	-1.0
20250815 00:20	19.0	19.0	19.0	52	8.9	9	18	356	0.0	733.8	-100000	-100000.000	-1.0
20250815 00:25	18.9	18.9	18.9	50	8.2	8	19	349	0.0	733.8	-100000	-100000.000	-1.0
20250815 00:30	18.5	18.5	18.5	51	8.2	7	15	333	0.0	733.8	-100000	-100000.000	-1.0
20250815 00:35	18.9	18.9	18.9	50	8.2	7	18	320	0.0	733.8	-100000	-100000.000	-1.0
20250815 00:40	19.1	19.1	19.1	51	8.7	6	14	324	0.0	733.8	-100000	-100000.000	-1.0
20250815 00:45	18.9	18.9	18.9	48	7.6	9	16	349	0.0	733.8	-100000	-100000.000	-1.0
20250815 00:50	18.3	18.3	18.3	55	9.1	7	16	352	0.0	733.8	-100000	-100000.000	-1.0
20250815 00:55	18.1	18.1	18.1	56	9.1	5	14	329	0.0	733.8	-100000	-100000.000	-1.0
20250815 01:00	18.3	18.3	18.3	55	9.1	5	16	324	0.0	733.8	-100000	-100000.000	-1.0
20250815 01:05	18.4	18.4	18.4	44	5.9	5	13	329	0.0	733.8	-100000	-100000.000	-1.0
20250815 01:10	18.1	18.1	18.1	44	5.6	6	19	334	0.0	733.8	-100000	-100000.000	-1.0
20250815 01:15	18.1	18.1	18.1	45	5.9	6	14	329	0.0	733.5	-100000	-100000.000	-1.0
20250815 01:20	17.8	17.8	17.8	42	4.7	5	12	327	0.0	733.5	-100000	-100000.000	-1.0
20250815 01:25	17.8	17.8	17.8	43	5.0	7	20	324	0.0	733.5	-100000	-100000.000	-1.0
20250815 01:30	17.6	17.6	17.6	42	4.5	7	17	318	0.0	733.5	-100000	-100000.000	-1.0
20250815 01:35	17.5	17.5	17.5	42	4.4	6	13	316	0.0	733.5	-100000	-100000.000	-1.0
20250815 01:40	17.3	17.3	17.3	42	4.2	5	14	318	0.0	733.5	-100000	-100000.000	-1.0
20250815 01:45	17.3	17.3	17.3	41	3.9	4	11	304	0.0	733.5	-100000	-100000.000	-1.0
20250815 01:50	17.2	17.2	17.2	41	3.8	3	13	296	0.0	733.5	-100000	-100000.000	-1.0
20250815 01:55	17.2	17.2	17.2	42	4.1	3	13	300	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:00	17.0	17.0	17.0	41	3.6	3	11	243	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:05	16.9	16.9	16.9	42	3.9	3	12	264	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:10	16.7	16.7	16.7	42	3.7	2	7	271	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:15	16.5	16.5	16.5	42	3.5	3	9	234	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:20	16.2	16.2	16.2	42	3.2	2	10	257	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:25	16.0	16.0	16.0	42	3.1	3	10	225	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:30	15.8	15.8	15.8	43	3.2	3	11	228	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:35	15.6	15.6	15.6	42	2.7	4	12	196	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:40	15.4	15.4	15.4	43	2.9	3	10	232	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:45	15.3	15.3	15.3	43	2.8	2	8	250	0.0	733.5	-100000	-100000.000	-1.0
20250815 02:50	15.1	15.1	15.1	44	2.9	6	15	214	0.0	733.8	-100000	-100000.000	-1.0
20250815 02:55	15.0	15.0	15.0	44	2.8	5	13	205	0.0	733.5	-100000	-100000.000	-1.0
20250815 03:00	14.8	14.8	14.8	45	3.0	4	13	221	0.0	733.8	-100000	-100000.000	-1.0
20250815 03:05	14.6	14.6	14.6	44	2.4	5	11	208	0.0	733.5	-100000	-100000.000	-1.0
20250815 03:10	14.5	14.5	14.5	44	2.4	4	13	228	0.0	733.5	-100000	-100000.000	-1.0
20250815 03:15	14.4	14.4	14.4	43	2.0	4	14	230	0.0	733.8	-100000	-100000.000	-1.0
20250815 03:20	14.4	14.4	14.4	43	2.0	4	15	217	0.0	733.8	-100000	-100000.000	-1.0
20250815 03:25	14.3	14.3	14.3	43	1.9	6	14	203	0.0	733.8	-100000	-100000.000	-1.0
20250815 03:30	14.2	14.2	14.2	42	1.4	6	14	207	0.0	733.8	-100000	-100000.000	-1.0
20250815 03:35	14.1	14.1	14.1	41	1.0	7	15	199	0.0	733.8	-100000	-100000.000	-1.0
20250815 03:40	14.0	14.0	14.0	42	1.3	6	16	203	0.0	733.8	-100000	-100000.000	-1.0
20250815 03:45	14.0	14.0	14.0	42	1.3	6	14	210	0.0	733.8	-100000	-100000.000	-1.0
20250815 03:50	13.9	13.9	13.9	42	1.2	7	13	198	0.0	733.8	-100000	-100000.000	-1.0
