--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250830 00:00	13.1	13.1	13.1	94	12.2	8	14	45	0.0	735.8	122	0.102	1.0
20250830 00:05	13.2	13.2	13.2	94	12.2	6	10	22	0.0	735.8	199	0.000	1.3
20250830 00:10	13.1	13.1	13.1	94	12.2	6	11	68	0.0	735.7	164	0.000	1.3
20250830 00:15	13.3	13.3	13.3	95	12.5	5	10	22	0.0	735.7	379	0.000	1.6
20250830 00:20	13.5	13.5	13.5	94	12.6	6	10	22	0.0	735.7	287	0.000	1.3
20250830 00:25	13.5	13.5	13.5	93	12.4	6	10	22	0.0	735.6	204	0.000	1.2
20250830 00:30	13.6	13.6	13.6	94	12.6	5	8	22	0.0	735.6	219	0.000	1.2
20250830 00:35	13.6	13.6	13.6	93	12.4	6	10	22	0.0	735.6	174	0.000	1.0
20250830 00:40	13.6	13.6	13.6	93	12.4	5	8	22	0.0	735.7	265	0.000	1.0
20250830 00:45	13.8	13.8	13.8	93	12.7	3	8	22	0.0	735.6	507	0.000	1.0
20250830 00:50	14.2	14.2	14.2	91	12.8	3	8	22	0.0	735.6	334	0.000	0.9
20250830 00:55	14.7	14.7	14.7	89	12.9	5	11	22	0.0	735.6	478	0.000	1.0
20250830 01:00	14.9	14.9	14.9	88	13.0	5	10	0	0.0	735.6	316	0.178	0.8
20250830 01:05	15.2	15.2	15.2	85	12.7	3	8	22	0.0	735.5	283	0.000	0.8
20250830 01:10	15.6	15.6	15.6	82	12.5	3	13	315	0.0	735.6	257	0.000	0.7
20250830 01:15	15.6	15.6	15.6	83	12.7	3	8	0	0.0	735.6	213	0.000	0.6
20250830 01:20	15.5	15.5	15.5	83	12.6	3	13	315	0.0	735.6	190	0.000	0.4
20250830 01:25	15.3	15.3	15.3	84	12.6	3	8	315	0.0	735.5	179	0.000	0.3
20250830 01:30	15.2	15.2	15.2	85	12.7	3	8	315	0.0	735.5	149	0.000	0.0
20250830 01:35	15.2	15.2	15.2	85	12.7	2	6	338	0.0	735.6	124	0.000	0.0
20250830 01:40	15.0	15.0	15.0	86	12.7	2	3	338	0.0	735.6	93	0.000	0.0
20250830 01:45	14.6	14.6	14.6	87	12.4	3	8	292	0.0	735.6	20	0.000	0.0
20250830 01:50	14.2	14.2	14.2	88	12.3	2	5	292	0.0	735.7	20	0.000	0.0
20250830 01:55	13.8	13.8	13.8	89	12.0	3	6	292	0.0	735.7	24	0.000	0.0
20250830 02:00	13.6	13.6	13.6	90	12.0	3	6	270	0.0	735.7	13	0.076	0.0
20250830 02:05	13.3	13.3	13.3	88	11.4	5	8	270	0.0	735.8	10	0.000	0.0
20250830 02:10	13.2	13.2	13.2	87	11.1	6	10	225	0.0	735.8	6	0.000	0.0
20250830 02:15	13.1	13.1	13.1	88	11.2	5	8	225	0.0	735.8	3	0.000	0.0
20250830 02:20	13.1	13.1	13.1	88	11.1	5	10	225	0.0	735.9	0	0.000	0.0
