--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250622 00:00	16.8	16.8	16.8	23	-4.4	6	16	270	0.0	728.9	650	0.508	4.1
20250622 00:05	17.3	17.3	17.3	23	-4.1	6	19	270	0.0	729.0	631	0.000	3.9
20250622 00:10	16.5	16.5	16.5	23	-4.7	11	19	248	0.0	728.9	616	0.000	3.7
20250622 00:15	16.5	16.5	16.5	26	-3.1	6	16	248	0.0	728.9	596	0.000	3.5
20250622 00:20	16.4	16.4	16.4	25	-3.7	10	16	225	0.0	728.9	579	0.000	3.3
20250622 00:25	16.5	16.5	16.5	27	-2.6	8	18	248	0.0	728.8	563	0.000	3.1
20250622 00:30	16.4	16.4	16.4	27	-2.6	8	14	248	0.0	728.8	542	0.000	2.9
20250622 00:35	16.3	16.3	16.3	25	-3.8	10	19	225	0.0	728.7	528	0.000	2.7
20250622 00:40	15.9	15.9	15.9	25	-4.1	10	19	225	0.0	728.7	507	0.000	2.6
20250622 00:45	16.0	16.0	16.0	23	-5.1	8	19	225	0.0	728.7	488	0.000	2.4
20250622 00:50	16.2	16.2	16.2	21	-6.2	8	18	225	0.0	728.7	469	0.000	2.2
20250622 00:55	16.1	16.1	16.1	19	-7.5	10	16	225	0.0	728.7	451	0.000	2.0
20250622 01:00	16.1	16.1	16.1	20	-6.9	10	19	248	0.0	728.7	433	0.381	1.8
20250622 01:05	15.7	15.7	15.7	23	-5.4	10	21	225	0.0	728.7	410	0.000	1.6
20250622 01:10	15.5	15.5	15.5	26	-3.9	10	18	225	0.0	728.6	391	0.000	1.4
20250622 01:15	15.3	15.3	15.3	27	-3.6	10	18	225	0.0	728.6	372	0.000	1.3
20250622 01:20	14.8	14.8	14.8	32	-1.8	14	21	248	0.0	728.6	352	0.000	1.3
20250622 01:25	14.8	14.8	14.8	32	-1.8	11	19	248	0.0	728.7	333	0.000	1.2
20250622 01:30	14.8	14.8	14.8	32	-1.7	11	18	248	0.0	728.6	314	0.000	1.1
20250622 01:35	14.8	14.8	14.8	34	-0.9	11	18	225	0.0	728.6	296	0.000	0.9
20250622 01:40	14.6	14.6	14.6	32	-2.0	14	21	225	0.0	728.6	274	0.000	0.8
20250622 01:45	14.3	14.3	14.3	34	-1.3	14	23	225	0.0	728.7	254	0.000	0.7
20250622 01:50	14.1	14.1	14.1	35	-1.1	16	24	225	0.0	728.5	231	0.000	0.6
20250622 01:55	14.1	14.1	14.1	35	-1.2	16	26	225	0.0	728.5	207	0.000	0.5
20250622 02:00	14.1	14.1	14.1	35	-1.1	16	24	225	0.0	728.4	183	0.254	0.3
20250622 02:05	14.1	14.1	14.1	35	-1.2	14	24	225	0.0	728.5	157	0.000	0.0
