--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250613 00:00	18.9	18.9	18.9	41	5.4	10	14	22	0.0	732.4	634	0.508	4.1
20250613 00:05	18.9	18.9	18.9	41	5.3	10	16	45	0.0	732.4	619	0.000	3.9
20250613 00:10	18.6	18.6	18.6	41	5.1	10	18	22	0.0	732.3	601	0.000	3.7
20250613 00:15	18.7	18.7	18.7	41	5.2	8	13	22	0.0	732.3	584	0.000	3.5
20250613 00:20	18.7	18.7	18.7	41	5.1	10	14	22	0.0	732.3	566	0.000	3.3
20250613 00:25	18.6	18.6	18.6	41	5.1	8	16	0	0.0	732.2	546	0.000	3.1
20250613 00:30	18.7	18.7	18.7	41	5.1	8	14	45	0.0	732.2	530	0.000	2.9
20250613 00:35	18.7	18.7	18.7	40	4.8	8	13	22	0.0	732.2	512	0.000	2.7
20250613 00:40	18.7	18.7	18.7	40	4.8	6	13	22	0.0	732.2	495	0.000	2.6
20250613 00:45	18.5	18.5	18.5	40	4.6	8	13	22	0.0	732.2	476	0.000	2.3
20250613 00:50	18.4	18.4	18.4	40	4.6	5	6	22	0.0	732.2	456	0.000	2.1
20250613 00:55	18.4	18.4	18.4	40	4.5	5	6	45	0.0	732.2	437	0.000	2.0
20250613 01:00	18.5	18.5	18.5	39	4.3	5	6	22	0.0	732.1	416	0.381	1.7
20250613 01:05	18.3	18.3	18.3	39	4.1	5	10	45	0.0	732.1	400	0.000	1.5
20250613 01:10	18.3	18.3	18.3	39	4.1	3	6	45	0.0	732.1	383	0.000	1.4
20250613 01:15	18.5	18.5	18.5	38	3.9	3	8	68	0.0	732.1	363	0.000	1.3
20250613 01:20	18.6	18.6	18.6	38	4.0	3	8	45	0.0	732.1	344	0.000	1.2
20250613 01:25	18.9	18.9	18.9	36	3.5	2	6	338	0.0	732.0	326	0.000	1.2
20250613 01:30	19.2	19.2	19.2	33	2.5	3	5	315	0.0	732.0	306	0.000	1.0
20250613 01:35	19.3	19.3	19.3	32	2.2	3	6	338	0.0	732.0	284	0.000	0.9
20250613 01:40	19.6	19.6	19.6	32	2.5	2	5	315	0.0	732.0	264	0.000	0.8
20250613 01:45	19.6	19.6	19.6	30	1.6	3	11	315	0.0	732.0	244	0.000	0.7
20250613 01:50	19.2	19.2	19.2	30	1.2	3	8	292	0.0	732.0	224	0.000	0.6
20250613 01:55	18.9	18.9	18.9	30	1.0	3	6	270	0.0	732.0	198	0.000	0.5
20250613 02:00	18.4	18.4	18.4	30	0.5	6	10	248	0.0	732.0	173	0.203	0.1
20250613 02:05	17.8	17.8	17.8	29	-0.5	6	13	248	0.0	731.9	150	0.000	0.0
20250613 02:10	17.2	17.2	17.2	29	-1.0	10	13	225	0.0	731.9	124	0.000	0.0
20250613 02:15	16.7	16.7	16.7	30	-1.0	11	16	225	0.0	731.9	106	0.000	0.0
20250613 02:20	16.3	16.3	16.3	29	-1.7	14	21	225	0.0	731.9	87	0.000	0.0
20250613 02:25	16.2	16.2	16.2	29	-1.8	16	23	225	0.0	731.9	66	0.000	0.0
20250613 02:30	16.2	16.2	16.2	31	-0.9	16	23	225	0.0	731.9	48	0.000	0.0
20250613 02:35	16.2	16.2	16.2	32	-0.5	16	21	225	0.0	731.8	33	0.000	0.0
20250613 02:40	16.1	16.1	16.1	32	-0.6	16	19	225	0.0	731.9	22	0.000	0.0
20250613 02:45	16.1	16.1	16.1	32	-0.6	14	19	225	0.0	731.9	11	0.000	0.0
20250613 02:50	16.2	16.2	16.2	19	-7.4	14	19	248	0.0	731.9	7	0.000	0.0
20250613 02:55	16.4	16.4	16.4	15	-10.3	16	23	248	0.0	732.0	2	0.000	0.0
20250613 03:00	16.5	16.5	16.5	14	-11.1	14	19	248	0.0	731.9	0	0.152	0.0
20250613 03:05	16.6	16.6	16.6	14	-11.0	14	19	248	0.0	731.9	0	0.000	0.0
20250613 03:10	16.6	16.6	16.6	13	-12.0	14	23	248	0.0	732.0	0	0.000	0.0
20250613 03:15	16.6	16.6	16.6	16	-9.4	13	18	270	0.0	732.0	0	0.000	0.0
20250613 03:20	16.7	16.7	16.7	13	-11.9	13	18	248	0.0	732.0	0	0.000	0.0
20250613 03:25	16.7	16.7	16.7	12	-12.9	13	18	248	0.0	732.0	0	0.000	0.0
20250613 03:30	16.7	16.7	16.7	12	-12.9	13	19	248	0.0	732.1	0	0.000	0.0
20250613 03:35	16.6	16.6	16.6	12	-13.0	13	19	248	0.0	732.1	0	0.000	0.0
20250613 03:40	16.6	16.6	16.6	11	-14.0	11	18	270	0.0	732.1	0	0.000	0.0
20250613 03:45	16.6	16.6	16.6	11	-14.0	10	16	270	0.0	732.1	0	0.000	0.0
20250613 03:50	16.6	16.6	16.6	10	-15.2	11	18	270	0.0	732.1	0	0.000	0.0
20250613 03:55	16.6	16.6	16.6	10	-15.2	10	16	270	0.0	732.2	0	0.000	0.0
20250613 04:00	16.4	16.4	16.4	11	-14.1	10	16	270	0.0	732.2	0	0.127	0.0
20250613 04:05	16.4	16.4	16.4	11	-14.2	10	16	270	0.0	732.3	0	0.000	0.0
20250613 04:10	16.3	16.3	16.3	11	-14.2	8	16	270	0.0	732.3	0	0.000	0.0
20250613 04:15	16.4	16.4	16.4	10	-15.3	10	14	270	0.0	732.4	0	0.000	0.0
20250613 04:20	16.5	16.5	16.5	9	-16.5	8	16	270	0.0	732.3	0	0.000	0.0
20250613 04:25	16.5	16.5	16.5	9	-16.5	6	13	270	0.0	732.4	0	0.000	0.0
