--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250921 00:00	16.6	16.6	16.6	85	14.0	5	11	22	0.0	734.5	780	0.279	2.4
20250921 00:05	16.3	16.3	16.3	85	13.8	6	13	22	0.0	734.4	635	0.000	2.4
20250921 00:10	16.1	16.1	16.1	85	13.6	8	13	22	0.0	734.4	461	0.000	1.7
20250921 00:15	15.9	15.9	15.9	85	13.4	3	8	45	0.0	734.4	381	0.000	1.4
20250921 00:20	16.0	16.0	16.0	80	12.5	3	10	338	0.0	734.4	340	0.000	1.3
20250921 00:25	16.1	16.1	16.1	79	12.5	5	11	338	0.0	734.4	324	0.000	1.2
20250921 00:30	16.2	16.2	16.2	78	12.3	3	8	338	0.0	734.4	294	0.000	1.0
20250921 00:35	16.2	16.2	16.2	78	12.4	3	8	292	0.0	734.4	277	0.000	0.9
20250921 00:40	16.1	16.1	16.1	77	12.1	5	13	292	0.0	734.4	260	0.000	0.8
20250921 00:45	15.8	15.8	15.8	78	11.9	6	16	270	0.0	734.4	242	0.000	0.8
20250921 00:50	15.6	15.6	15.6	79	12.0	5	11	292	0.0	734.4	216	0.000	0.6
20250921 00:55	15.7	15.7	15.7	79	12.0	3	8	315	0.0	734.4	189	0.000	0.5
20250921 01:00	15.5	15.5	15.5	79	11.9	3	8	315	0.0	734.4	165	0.178	0.1
20250921 01:05	15.6	15.6	15.6	79	11.9	2	6	315	0.0	734.4	134	0.000	0.0
20250921 01:10	15.7	15.7	15.7	79	12.0	2	5	338	0.0	734.4	113	0.000	0.0
20250921 01:15	15.7	15.7	15.7	78	11.8	2	5	338	0.0	734.4	99	0.000	0.0
20250921 01:20	15.5	15.5	15.5	79	11.9	2	5	0	0.0	734.5	86	0.000	0.0
20250921 01:25	15.3	15.3	15.3	79	11.7	2	3	0	0.0	734.4	61	0.000	0.0
20250921 01:30	15.1	15.1	15.1	80	11.7	3	5	0	0.0	734.4	46	0.000	0.0
20250921 01:35	14.8	14.8	14.8	81	11.6	2	3	0	0.0	734.5	33	0.000	0.0
20250921 01:40	14.6	14.6	14.6	86	12.3	3	5	0	0.0	734.4	19	0.000	0.0
20250921 01:45	14.3	14.3	14.3	89	12.5	3	5	0	0.0	734.4	14	0.000	0.0
20250921 01:50	14.0	14.0	14.0	92	12.7	2	5	0	0.0	734.3	5	0.000	0.0
20250921 01:55	13.8	13.8	13.8	92	12.6	0	3	0	0.0	734.4	0	0.000	0.0
