--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250626 00:00	14.0	14.0	14.0	48	3.2	7	15	354	0.0	731.8	-100000	-100000.000	-1.0
20250626 00:05	13.7	13.7	13.7	50	3.4	9	16	349	0.0	731.8	-100000	-100000.000	-1.0
20250626 00:10	13.4	13.4	13.4	50	3.2	8	19	7	0.0	731.8	-100000	-100000.000	-1.0
20250626 00:15	13.1	13.1	13.1	51	3.1	8	19	10	0.0	731.8	-100000	-100000.000	-1.0
20250626 00:20	13.5	13.5	13.5	52	3.8	8	16	351	0.0	731.5	-100000	-100000.000	-1.0
20250626 00:25	13.5	13.5	13.5	52	3.8	11	24	352	0.0	731.8	-100000	-100000.000	-1.0
20250626 00:30	13.0	13.0	13.0	53	3.6	8	20	16	0.0	731.5	-100000	-100000.000	-1.0
20250626 00:35	13.3	13.3	13.3	53	3.9	7	16	352	0.0	731.8	-100000	-100000.000	-1.0
20250626 00:40	13.2	13.2	13.2	54	4.1	10	20	349	0.0	731.5	-100000	-100000.000	-1.0
20250626 00:45	12.9	12.9	12.9	55	4.1	9	19	0	0.0	731.5	-100000	-100000.000	-1.0
20250626 00:50	12.9	12.9	12.9	55	4.1	11	19	351	0.0	731.5	-100000	-100000.000	-1.0
20250626 00:55	12.7	12.7	12.7	55	3.9	8	16	354	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:00	12.6	12.6	12.6	56	4.0	10	17	7	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:05	12.5	12.5	12.5	56	4.0	10	19	349	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:10	12.4	12.4	12.4	56	3.9	10	19	5	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:15	12.3	12.3	12.3	57	4.0	8	15	9	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:20	12.2	12.2	12.2	57	3.9	7	16	1	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:25	12.3	12.3	12.3	57	4.0	8	17	0	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:30	12.3	12.3	12.3	57	4.0	9	17	356	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:35	12.1	12.1	12.1	57	3.8	11	18	0	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:40	12.0	12.0	12.0	58	4.0	7	17	352	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:45	12.1	12.1	12.1	58	4.0	10	18	358	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:50	11.9	11.9	11.9	59	4.1	8	15	349	0.0	731.5	-100000	-100000.000	-1.0
20250626 01:55	11.8	11.8	11.8	59	4.0	11	18	358	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:00	11.7	11.7	11.7	59	3.9	7	12	352	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:05	11.7	11.7	11.7	59	3.9	11	18	10	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:10	11.6	11.6	11.6	59	3.8	10	16	27	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:15	11.3	11.3	11.3	60	3.8	10	15	27	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:20	11.2	11.2	11.2	60	3.7	10	15	21	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:25	11.1	11.1	11.1	60	3.6	7	13	29	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:30	11.1	11.1	11.1	60	3.6	6	11	25	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:35	11.1	11.1	11.1	60	3.6	7	14	18	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:40	11.0	11.0	11.0	61	3.8	7	12	27	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:45	10.9	10.9	10.9	61	3.7	4	7	36	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:50	10.9	10.9	10.9	61	3.7	5	11	97	0.0	731.5	-100000	-100000.000	-1.0
20250626 02:55	11.0	11.0	11.0	58	3.1	8	17	147	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:00	11.3	11.3	11.3	54	2.3	12	17	162	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:05	11.5	11.5	11.5	54	2.5	13	19	174	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:10	11.6	11.6	11.6	51	1.8	12	19	178	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:15	11.5	11.5	11.5	50	1.4	12	18	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:20	11.5	11.5	11.5	50	1.4	11	16	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:25	11.5	11.5	11.5	50	1.4	11	14	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:30	11.4	11.4	11.4	50	1.3	10	15	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:35	11.4	11.4	11.4	51	1.6	10	15	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:40	11.3	11.3	11.3	53	2.0	10	18	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:45	11.2	11.2	11.2	54	2.2	10	15	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:50	11.2	11.2	11.2	54	2.2	10	14	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 03:55	11.1	11.1	11.1	55	2.4	11	15	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 04:00	11.1	11.1	11.1	55	2.4	14	18	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 04:05	11.2	11.2	11.2	56	2.7	12	17	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 04:10	11.2	11.2	11.2	57	3.0	8	12	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 04:15	11.0	11.0	11.0	58	3.1	8	12	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 04:20	11.2	11.2	11.2	44	-0.6	10	15	180	0.0	731.5	-100000	-100000.000	-1.0
20250626 04:25	11.6	11.6	11.6	33	-4.2	13	20	171	0.0	731.5	-100000	-100000.000	-1.0
20250626 04:30	12.1	12.1	12.1	30	-5.0	15	21	176	0.0	731.5	-100000	-100000.000	-1.0
20250626 04:35	12.3	12.3	12.3	27	-6.2	13	20	176	0.0	731.8	-100000	-100000.000	-1.0
20250626 04:40	12.3	12.3	12.3	27	-6.2	13	20	180	0.0	731.8	-100000	-100000.000	-1.0
20250626 04:45	12.2	12.2	12.2	26	-6.8	15	23	180	0.0	731.8	-100000	-100000.000	-1.0
20250626 04:50	12.2	12.2	12.2	23	-8.4	14	21	180	0.0	731.8	-100000	-100000.000	-1.0
20250626 04:55	12.2	12.2	12.2	20	-10.1	13	22	180	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:00	12.4	12.4	12.4	19	-10.6	10	16	180	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:05	12.3	12.3	12.3	19	-10.7	11	17	180	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:10	12.3	12.3	12.3	19	-10.7	15	21	174	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:15	12.2	12.2	12.2	21	-9.5	16	22	180	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:20	12.0	12.0	12.0	21	-9.6	16	24	178	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:25	12.0	12.0	12.0	21	-9.6	15	23	178	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:30	12.2	12.2	12.2	20	-10.1	14	21	178	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:35	12.2	12.2	12.2	20	-10.1	12	20	180	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:40	12.1	12.1	12.1	20	-10.2	11	17	169	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:45	12.2	12.2	12.2	20	-10.1	13	19	167	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:50	12.2	12.2	12.2	21	-9.5	15	22	167	0.0	731.8	-100000	-100000.000	-1.0
20250626 05:55	12.2	12.2	12.2	22	-8.9	15	21	165	0.0	731.8	-100000	-100000.000	-1.0
20250626 06:00	12.2	12.2	12.2	21	-9.5	12	19	162	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:05	12.2	12.2	12.2	21	-9.5	9	16	162	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:10	12.1	12.1	12.1	21	-9.6	7	14	154	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:15	12.1	12.1	12.1	22	-9.0	7	13	142	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:20	12.0	12.0	12.0	23	-8.5	8	15	151	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:25	12.0	12.0	12.0	22	-9.1	10	18	154	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:30	12.1	12.1	12.1	23	-8.4	12	19	162	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:35	12.1	12.1	12.1	25	-7.4	12	19	163	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:40	12.0	12.0	12.0	24	-7.9	12	21	162	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:45	11.9	11.9	11.9	25	-7.5	13	21	162	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:50	11.9	11.9	11.9	23	-8.6	16	25	172	0.0	732.1	-100000	-100000.000	-1.0
20250626 06:55	12.0	12.0	12.0	23	-8.5	17	26	180	0.0	732.1	-100000	-100000.000	-1.0
20250626 07:00	11.9	11.9	11.9	22	-9.2	19	28	174	0.0	731.8	-100000	-100000.000	-1.0
20250626 07:05	12.0	12.0	12.0	22	-9.1	18	27	176	0.0	731.8	-100000	-100000.000	-1.0
20250626 07:10	12.0	12.0	12.0	22	-9.1	16	25	180	0.0	731.8	-100000	-100000.000	-1.0
20250626 07:15	11.9	11.9	11.9	22	-9.2	16	27	176	0.0	731.8	-100000	-100000.000	-1.0
20250626 07:20	11.8	11.8	11.8	22	-9.2	15	28	176	0.0	731.8	-100000	-100000.000	-1.0
20250626 07:25	11.9	11.9	11.9	22	-9.2	16	29	172	0.0	731.8	-100000	-100000.000	-1.0
20250626 07:30	11.8	11.8	11.8	22	-9.2	14	22	162	0.0	731.8	-100000	-100000.000	-1.0
20250626 07:35	11.9	11.9	11.9	22	-9.2	15	31	167	0.0	731.8	-100000	-100000.000	-1.0
20250626 07:40	12.0	12.0	12.0	22	-9.1	14	25	167	0.0	731.8	-100000	-100000.000	-1.0
20250626 07:45	11.8	11.8	11.8	22	-9.2	16	29	165	0.0	731.8	-100000	-100000.000	-1.0
