--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250930 00:00	13.5	13.5	13.5	77	9.6	2	10	234	0.0	731.5	-100000	-100000.000	-1.0
20250930 00:05	13.4	13.4	13.4	75	9.0	5	14	205	0.0	731.5	-100000	-100000.000	-1.0
20250930 00:10	13.2	13.2	13.2	78	9.4	2	6	240	0.0	731.5	-100000	-100000.000	-1.0
20250930 00:15	13.4	13.4	13.4	79	9.8	2	6	228	0.0	731.5	-100000	-100000.000	-1.0
20250930 00:20	13.2	13.2	13.2	79	9.7	2	9	258	0.0	731.5	-100000	-100000.000	-1.0
20250930 00:25	13.1	13.1	13.1	80	9.7	2	6	244	0.0	731.3	-100000	-100000.000	-1.0
20250930 00:30	12.8	12.8	12.8	82	9.7	2	9	232	0.0	731.3	-100000	-100000.000	-1.0
20250930 00:35	12.6	12.6	12.6	82	9.6	3	13	212	0.0	731.3	-100000	-100000.000	-1.0
20250930 00:40	12.4	12.4	12.4	80	9.1	5	13	208	0.0	731.1	-100000	-100000.000	-1.0
20250930 00:45	12.2	12.2	12.2	82	9.3	2	9	201	0.0	731.1	-100000	-100000.000	-1.0
20250930 00:50	12.3	12.3	12.3	82	9.2	6	12	198	0.0	731.1	-100000	-100000.000	-1.0
20250930 00:55	11.9	11.9	11.9	82	8.9	7	13	187	0.0	731.1	-100000	-100000.000	-1.0
20250930 01:00	11.6	11.6	11.6	84	9.0	6	13	198	0.0	731.2	-100000	-100000.000	-1.0
20250930 01:05	11.4	11.4	11.4	84	8.8	7	13	189	0.0	731.3	-100000	-100000.000	-1.0
20250930 01:10	11.3	11.3	11.3	86	9.1	7	13	192	0.0	731.1	-100000	-100000.000	-1.0
20250930 01:15	11.1	11.1	11.1	87	9.0	7	13	198	0.0	731.1	-100000	-100000.000	-1.0
20250930 01:20	10.8	10.8	10.8	89	8.9	9	19	189	0.0	731.1	-100000	-100000.000	-1.0
20250930 01:25	10.5	10.5	10.5	91	9.0	9	13	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 01:30	10.4	10.4	10.4	90	8.8	9	15	189	0.0	731.1	-100000	-100000.000	-1.0
20250930 01:35	10.2	10.2	10.2	86	7.9	11	16	181	0.0	731.1	-100000	-100000.000	-1.0
20250930 01:40	10.1	10.1	10.1	86	7.9	11	17	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 01:45	10.0	8.4	10.0	88	8.0	12	17	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 01:50	9.8	8.0	9.8	89	8.1	13	21	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 01:55	9.7	7.7	9.7	90	8.1	14	19	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 02:00	9.6	7.3	9.6	89	7.8	16	22	180	0.0	730.9	-100000	-100000.000	-1.0
20250930 02:05	9.5	7.2	9.5	88	7.5	16	23	178	0.0	730.8	-100000	-100000.000	-1.0
20250930 02:10	9.5	7.1	9.5	85	7.1	17	23	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 02:15	9.5	7.1	9.5	81	6.4	17	23	180	0.0	730.9	-100000	-100000.000	-1.0
20250930 02:20	9.7	7.2	9.7	66	3.6	18	23	180	0.0	731.0	-100000	-100000.000	-1.0
20250930 02:25	9.9	7.5	9.9	58	2.0	17	23	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 02:30	10.0	10.0	10.0	52	0.5	18	23	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 02:35	10.1	10.1	10.1	48	-0.6	19	26	178	0.0	731.0	-100000	-100000.000	-1.0
20250930 02:40	10.1	10.1	10.1	45	-1.2	19	27	180	0.0	730.9	-100000	-100000.000	-1.0
20250930 02:45	10.2	10.2	10.2	43	-1.9	19	26	176	0.0	730.8	-100000	-100000.000	-1.0
20250930 02:50	10.2	10.2	10.2	41	-2.5	18	25	178	0.0	730.8	-100000	-100000.000	-1.0
20250930 02:55	10.3	10.3	10.3	40	-2.7	17	24	180	0.0	730.9	-100000	-100000.000	-1.0
20250930 03:00	10.2	10.2	10.2	40	-2.8	16	22	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:05	10.2	10.2	10.2	40	-2.8	17	25	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:10	10.1	10.1	10.1	40	-2.8	18	23	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:15	10.1	10.1	10.1	41	-2.6	19	26	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:20	10.1	10.1	10.1	41	-2.7	18	23	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:25	10.1	10.1	10.1	41	-2.6	17	22	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:30	10.1	10.1	10.1	41	-2.6	17	23	178	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:35	10.1	10.1	10.1	41	-2.6	17	24	176	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:40	10.0	10.0	10.0	41	-2.6	17	22	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:45	10.0	10.0	10.0	41	-2.6	17	24	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:50	10.0	10.0	10.0	40	-3.0	17	23	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 03:55	10.0	7.8	10.0	40	-3.1	16	24	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 04:00	9.9	7.6	9.9	39	-3.4	16	21	178	0.0	731.1	-100000	-100000.000	-1.0
20250930 04:05	9.8	7.6	9.8	39	-3.5	16	22	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 04:10	9.8	7.6	9.8	39	-3.6	16	22	180	0.0	731.2	-100000	-100000.000	-1.0
20250930 04:15	9.7	7.4	9.7	38	-3.9	16	25	180	0.0	731.4	-100000	-100000.000	-1.0
20250930 04:20	9.6	7.3	9.6	39	-3.8	16	25	180	0.0	731.3	-100000	-100000.000	-1.0
20250930 04:25	9.5	7.2	9.5	40	-3.5	16	23	180	0.0	731.3	-100000	-100000.000	-1.0
20250930 04:30	9.4	7.1	9.4	44	-2.1	16	23	180	0.0	731.3	-100000	-100000.000	-1.0
20250930 04:35	9.2	6.6	9.2	49	-0.9	17	23	180	0.0	731.2	-100000	-100000.000	-1.0
20250930 04:40	9.0	6.4	9.0	57	0.8	17	24	180	0.0	731.3	-100000	-100000.000	-1.0
20250930 04:45	8.8	6.1	8.8	60	1.5	17	24	180	0.0	731.2	-100000	-100000.000	-1.0
20250930 04:50	8.6	5.8	8.6	61	1.6	18	25	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 04:55	8.6	5.8	8.6	62	1.6	18	25	180	0.0	731.2	-100000	-100000.000	-1.0
20250930 05:00	8.6	5.8	8.6	62	1.6	18	23	180	0.0	731.5	-100000	-100000.000	-1.0
20250930 05:05	8.5	5.8	8.5	63	1.8	18	24	180	0.0	731.3	-100000	-100000.000	-1.0
20250930 05:10	8.4	5.7	8.4	63	1.8	18	25	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 05:15	8.3	5.6	8.3	64	1.8	17	25	180	0.0	731.2	-100000	-100000.000	-1.0
20250930 05:20	8.2	5.3	8.2	66	2.3	18	25	180	0.0	731.3	-100000	-100000.000	-1.0
20250930 05:25	8.1	5.0	8.1	70	2.9	20	30	180	0.0	731.2	-100000	-100000.000	-1.0
20250930 05:30	8.1	5.0	8.1	72	3.4	20	30	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 05:35	8.0	4.8	8.0	76	4.0	21	29	180	0.0	731.3	-100000	-100000.000	-1.0
20250930 05:40	8.0	4.7	8.0	68	2.5	22	31	180	0.0	731.3	-100000	-100000.000	-1.0
20250930 05:45	8.1	5.0	8.1	65	1.9	20	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 05:50	8.2	5.2	8.2	61	1.1	19	27	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 05:55	8.4	5.6	8.4	52	-0.9	19	26	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 06:00	8.8	6.0	8.8	45	-2.6	19	28	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 06:05	8.9	6.1	8.9	42	-3.2	19	27	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 06:10	8.9	6.1	8.9	43	-3.1	20	29	180	0.0	731.2	-100000	-100000.000	-1.0
20250930 06:15	9.0	6.2	9.0	42	-3.1	19	28	180	0.0	731.2	-100000	-100000.000	-1.0
20250930 06:20	8.9	6.1	8.9	42	-3.4	19	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 06:25	8.8	6.1	8.8	41	-3.6	19	27	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 06:30	8.8	6.0	8.8	41	-3.7	19	26	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 06:35	8.8	5.9	8.8	42	-3.4	20	27	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 06:40	8.8	5.9	8.8	41	-3.8	20	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 06:45	8.8	5.8	8.8	42	-3.3	20	28	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 06:50	8.8	5.9	8.8	42	-3.4	19	27	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 06:55	8.7	5.7	8.7	40	-4.0	20	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:00	8.9	6.0	8.9	37	-4.9	20	30	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:05	9.0	6.2	9.0	35	-5.6	19	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:10	9.0	6.2	9.0	32	-6.6	19	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:15	9.0	6.3	9.0	32	-7.0	19	28	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:20	9.0	6.4	9.0	29	-8.0	18	25	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:25	9.1	6.4	9.1	27	-8.7	19	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:30	9.2	6.4	9.2	26	-9.3	19	27	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:35	9.1	6.3	9.1	25	-10.0	20	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:40	9.3	6.4	9.3	23	-10.7	21	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:45	9.4	6.6	9.4	23	-10.9	21	28	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:50	9.4	6.5	9.4	22	-11.0	22	31	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 07:55	9.5	6.6	9.5	22	-11.2	21	30	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 08:00	9.4	6.5	9.4	23	-10.9	22	33	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 08:05	9.4	6.6	9.4	22	-11.1	21	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 08:10	9.3	6.5	9.3	22	-11.1	20	29	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 08:15	9.3	6.6	9.3	22	-11.3	20	30	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 08:20	9.3	6.5	9.3	22	-11.4	20	30	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 08:25	9.3	6.5	9.3	23	-11.0	19	28	180	0.0	731.1	-100000	-100000.000	-1.0
20250930 08:30	9.2	6.4	9.2	23	-11.0	19	27	180	0.0	731.0	-100000	-100000.000	-1.0
20250930 08:35	9.3	6.4	9.3	22	-11.3	21	29	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 08:40	9.4	6.5	9.4	22	-11.2	21	34	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 08:45	9.3	6.5	9.3	22	-11.3	21	29	180	0.0	730.9	-100000	-100000.000	-1.0
20250930 08:50	9.1	6.1	9.1	22	-11.4	21	42	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 08:55	9.2	6.2	9.2	22	-11.2	22	31	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:00	9.3	6.2	9.3	22	-11.2	23	31	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:05	9.6	6.6	9.6	22	-11.1	23	32	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:10	9.5	6.4	9.5	22	-11.1	24	36	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:15	9.4	6.3	9.4	22	-11.1	24	34	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:20	9.3	6.1	9.3	22	-11.3	24	34	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:25	9.4	6.2	9.4	22	-11.3	25	34	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:30	9.4	6.2	9.4	21	-11.8	25	34	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:35	9.5	6.4	9.5	21	-11.7	24	34	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:40	9.5	6.3	9.5	21	-11.7	25	36	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:45	9.5	6.4	9.5	21	-11.5	25	34	180	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:50	9.5	6.3	9.5	22	-11.1	25	34	183	0.0	730.8	-100000	-100000.000	-1.0
20250930 09:55	9.5	6.2	9.5	22	-11.2	26	38	180	0.0	730.7	-100000	-100000.000	-1.0
20250930 10:00	9.5	6.2	9.5	22	-11.1	26	37	180	0.0	730.6	-100000	-100000.000	-1.0
20250930 10:05	9.5	6.1	9.5	22	-11.2	26	35	180	0.0	730.6	-100000	-100000.000	-1.0
20250930 10:10	9.3	6.0	9.3	22	-11.3	26	35	180	0.0	730.6	-100000	-100000.000	-1.0
