--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250614 00:00	17.2	17.2	17.2	54	7.8	9	17	5	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:05	17.2	17.2	17.2	54	7.8	10	17	10	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:10	17.1	17.1	17.1	54	7.7	11	17	7	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:15	17.0	17.0	17.0	55	7.9	11	20	358	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:20	16.9	16.9	16.9	56	8.1	10	16	5	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:25	16.8	16.8	16.8	56	7.9	8	14	358	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:30	17.2	17.2	17.2	55	8.0	11	19	9	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:35	16.8	16.8	16.8	56	7.9	8	18	1	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:40	17.2	17.2	17.2	56	8.3	9	14	3	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:45	16.9	16.9	16.9	56	8.1	9	14	358	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:50	17.0	17.0	17.0	55	7.9	9	16	7	0.0	732.1	-100000	-100000.000	-1.0
20250614 00:55	16.7	16.7	16.7	57	8.1	8	14	1	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:00	16.6	16.6	16.6	58	8.3	7	12	5	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:05	16.8	16.8	16.8	57	8.2	7	11	358	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:10	16.8	16.8	16.8	56	7.9	6	9	0	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:15	16.6	16.6	16.6	57	8.0	7	10	343	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:20	16.9	16.9	16.9	56	8.1	6	12	345	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:25	17.1	17.1	17.1	51	6.8	4	11	318	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:30	17.3	17.3	17.3	49	6.5	6	13	333	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:35	17.5	17.5	17.5	46	5.7	5	13	329	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:40	17.7	17.7	17.7	46	5.9	5	13	333	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:45	17.7	17.7	17.7	44	5.3	4	14	324	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:50	17.9	17.9	17.9	42	4.8	5	13	316	0.0	732.1	-100000	-100000.000	-1.0
20250614 01:55	17.9	17.9	17.9	41	4.4	4	10	325	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:00	17.8	17.8	17.8	41	4.3	3	7	320	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:05	17.8	17.8	17.8	42	4.7	2	8	300	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:10	17.7	17.7	17.7	42	4.6	1	5	252	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:15	17.7	17.7	17.7	41	4.2	1	4	239	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:20	17.5	17.5	17.5	41	4.1	1	4	234	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:25	17.4	17.4	17.4	41	4.0	4	7	196	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:30	17.1	17.1	17.1	41	3.7	7	9	180	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:35	17.0	17.0	17.0	42	4.0	7	9	180	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:40	17.0	17.0	17.0	43	4.3	8	11	176	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:45	16.9	16.9	16.9	43	4.2	8	9	165	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:50	17.0	17.0	17.0	43	4.3	8	10	162	0.0	732.1	-100000	-100000.000	-1.0
20250614 02:55	17.0	17.0	17.0	43	4.3	6	9	162	0.0	732.1	-100000	-100000.000	-1.0
20250614 03:00	16.9	16.9	16.9	43	4.2	4	7	151	0.0	732.1	-100000	-100000.000	-1.0
20250614 03:05	16.8	16.8	16.8	41	3.4	3	6	153	0.0	732.1	-100000	-100000.000	-1.0
20250614 03:10	16.9	16.9	16.9	32	0.1	5	6	163	0.0	732.1	-100000	-100000.000	-1.0
20250614 03:15	17.4	17.4	17.4	29	-0.8	4	5	180	0.0	732.5	-100000	-100000.000	-1.0
20250614 03:20	17.7	17.7	17.7	28	-1.1	4	5	190	0.0	732.5	-100000	-100000.000	-1.0
20250614 03:25	17.8	17.8	17.8	25	-2.5	3	5	194	0.0	732.5	-100000	-100000.000	-1.0
20250614 03:30	17.8	17.8	17.8	22	-4.2	3	5	196	0.0	732.5	-100000	-100000.000	-1.0
20250614 03:35	17.8	17.8	17.8	21	-4.8	2	4	198	0.0	732.5	-100000	-100000.000	-1.0
20250614 03:40	17.8	17.8	17.8	20	-5.5	2	4	198	0.0	732.5	-100000	-100000.000	-1.0
20250614 03:45	17.8	17.8	17.8	20	-5.5	1	3	214	0.0	732.5	-100000	-100000.000	-1.0
20250614 03:50	17.5	17.5	17.5	17	-7.8	1	2	354	0.0	732.5	-100000	-100000.000	-1.0
20250614 03:55	17.0	17.0	17.0	17	-8.2	1	2	342	0.0	732.5	-100000	-100000.000	-1.0
20250614 04:00	16.8	16.8	16.8	18	-7.7	1	2	316	0.0	732.5	-100000	-100000.000	-1.0
20250614 04:05	16.5	16.5	16.5	20	-6.5	1	2	252	0.0	732.5	-100000	-100000.000	-1.0
20250614 04:10	16.1	16.1	16.1	21	-6.3	1	3	221	0.0	732.5	-100000	-100000.000	-1.0
20250614 04:15	16.1	16.1	16.1	20	-6.9	3	4	198	0.0	732.5	-100000	-100000.000	-1.0
20250614 04:20	16.9	16.9	16.9	19	-6.9	3	4	198	0.0	732.5	-100000	-100000.000	-1.0
20250614 04:25	17.5	17.5	17.5	18	-7.1	3	5	194	0.0	732.5	-100000	-100000.000	-1.0
20250614 04:30	17.7	17.7	17.7	17	-7.7	3	5	185	0.0	732.8	-100000	-100000.000	-1.0
20250614 04:35	17.9	17.9	17.9	16	-8.3	3	5	190	0.0	732.8	-100000	-100000.000	-1.0
20250614 04:40	18.0	18.0	18.0	16	-8.2	4	5	194	0.0	732.8	-100000	-100000.000	-1.0
