--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250721 00:00	14.4	14.4	14.4	56	5.7	8	16	0	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:05	14.2	14.2	14.2	57	5.8	7	16	349	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:10	14.3	14.3	14.3	56	5.6	9	16	3	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:15	14.2	14.2	14.2	56	5.5	8	15	0	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:20	14.2	14.2	14.2	56	5.5	7	17	345	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:25	14.5	14.5	14.5	55	5.6	6	15	358	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:30	14.6	14.6	14.6	54	5.4	4	13	329	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:35	14.8	14.8	14.8	53	5.3	5	16	334	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:40	14.7	14.7	14.7	53	5.2	8	17	349	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:45	14.4	14.4	14.4	53	4.9	3	12	331	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:50	14.6	14.6	14.6	53	5.1	4	15	334	0.0	732.8	-100000	-100000.000	-1.0
20250721 00:55	14.5	14.5	14.5	53	5.0	4	17	344	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:00	14.4	14.4	14.4	54	5.2	5	16	5	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:05	14.2	14.2	14.2	54	5.0	6	20	0	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:10	14.0	14.0	14.0	54	4.8	4	18	343	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:15	14.1	14.1	14.1	54	4.9	6	19	0	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:20	13.9	13.9	13.9	55	5.0	7	19	354	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:25	13.8	13.8	13.8	55	4.9	8	18	358	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:30	13.9	13.9	13.9	56	5.3	10	19	9	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:35	13.8	13.8	13.8	57	5.4	10	19	3	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:40	13.6	13.6	13.6	57	5.2	11	20	10	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:45	13.4	13.4	13.4	59	5.5	11	20	7	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:50	13.3	13.3	13.3	59	5.4	9	19	1	0.0	732.5	-100000	-100000.000	-1.0
20250721 01:55	13.3	13.3	13.3	59	5.4	10	19	5	0.0	732.8	-100000	-100000.000	-1.0
20250721 02:00	13.1	13.1	13.1	60	5.5	10	18	1	0.0	732.8	-100000	-100000.000	-1.0
20250721 02:05	13.1	13.1	13.1	61	5.7	9	16	1	0.0	732.8	-100000	-100000.000	-1.0
20250721 02:10	13.1	13.1	13.1	61	5.7	8	14	356	0.0	732.8	-100000	-100000.000	-1.0
20250721 02:15	13.0	13.0	13.0	62	5.9	7	12	0	0.0	732.8	-100000	-100000.000	-1.0
20250721 02:20	12.8	12.8	12.8	62	5.7	7	13	0	0.0	732.8	-100000	-100000.000	-1.0
