--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20250722 00:00	15.2	15.2	15.2	54	5.9	14	32	354	0.0	732.1	-100000	-100000.000	-1.0
20250722 00:05	14.8	14.8	14.8	55	5.8	10	24	349	0.0	731.8	-100000	-100000.000	-1.0
20250722 00:10	15.4	15.4	15.4	53	5.9	11	26	351	0.0	732.1	-100000	-100000.000	-1.0
20250722 00:15	15.6	15.6	15.6	52	5.7	6	21	325	0.0	731.8	-100000	-100000.000	-1.0
20250722 00:20	15.8	15.8	15.8	51	5.7	4	15	318	0.0	731.8	-100000	-100000.000	-1.0
20250722 00:25	15.9	15.9	15.9	52	6.0	8	24	343	0.0	732.1	-100000	-100000.000	-1.0
20250722 00:30	15.6	15.6	15.6	52	5.7	10	23	9	0.0	732.1	-100000	-100000.000	-1.0
20250722 00:35	15.1	15.1	15.1	53	5.5	12	25	1	0.0	732.1	-100000	-100000.000	-1.0
20250722 00:40	14.7	14.7	14.7	54	5.5	11	20	16	0.0	732.1	-100000	-100000.000	-1.0
20250722 00:45	14.7	14.7	14.7	54	5.5	11	21	14	0.0	732.1	-100000	-100000.000	-1.0
20250722 00:50	14.6	14.6	14.6	54	5.4	8	18	3	0.0	732.1	-100000	-100000.000	-1.0
20250722 00:55	14.8	14.8	14.8	54	5.6	5	15	354	0.0	732.1	-100000	-100000.000	-1.0
20250722 01:00	15.1	15.1	15.1	53	5.5	8	22	354	0.0	731.8	-100000	-100000.000	-1.0
20250722 01:05	14.9	14.9	14.9	53	5.4	7	17	343	0.0	732.1	-100000	-100000.000	-1.0
20250722 01:10	15.0	15.0	15.0	52	5.2	8	18	352	0.0	732.1	-100000	-100000.000	-1.0
20250722 01:15	14.9	14.9	14.9	52	5.1	6	18	344	0.0	731.8	-100000	-100000.000	-1.0
20250722 01:20	14.7	14.7	14.7	53	5.2	8	18	4	0.0	731.8	-100000	-100000.000	-1.0
20250722 01:25	14.6	14.6	14.6	52	4.8	9	18	10	0.0	731.8	-100000	-100000.000	-1.0
20250722 01:30	14.5	14.5	14.5	52	4.8	8	15	12	0.0	732.1	-100000	-100000.000	-1.0
20250722 01:35	14.5	14.5	14.5	52	4.8	8	20	1	0.0	732.1	-100000	-100000.000	-1.0
20250722 01:40	14.4	14.4	14.4	52	4.7	7	14	358	0.0	732.1	-100000	-100000.000	-1.0
20250722 01:45	14.4	14.4	14.4	52	4.7	5	13	10	0.0	732.1	-100000	-100000.000	-1.0
20250722 01:50	14.4	14.4	14.4	52	4.7	7	14	356	0.0	732.1	-100000	-100000.000	-1.0
20250722 01:55	14.2	14.2	14.2	52	4.5	5	12	358	0.0	732.1	-100000	-100000.000	-1.0
20250722 02:00	14.3	14.3	14.3	52	4.6	7	13	358	0.0	732.1	-100000	-100000.000	-1.0
20250722 02:05	14.2	14.2	14.2	52	4.5	7	14	5	0.0	732.1	-100000	-100000.000	-1.0
20250722 02:10	14.1	14.1	14.1	51	4.1	8	14	10	0.0	732.1	-100000	-100000.000	-1.0
20250722 02:15	14.0	14.0	14.0	51	4.0	6	13	5	0.0	732.1	-100000	-100000.000	-1.0
20250722 02:20	13.9	13.9	13.9	51	3.9	6	17	3	0.0	732.5	-100000	-100000.000	-1.0
20250722 02:25	13.8	13.8	13.8	51	3.8	8	14	0	0.0	732.5	-100000	-100000.000	-1.0
20250722 02:30	13.6	13.6	13.6	51	3.6	7	13	16	0.0	732.5	-100000	-100000.000	-1.0
